Date,Open_Interest,FM_Long,FM_Short,FM_Net,FM_WeeklyChange,FM_Pctile_3yr_Rolling,RM_Long,RM_Short,RM_Net,RM_WeeklyChange
2012-08-07,802712.0,84556.0,193191.0,-108635.0,2870.0,36.28,359527.0,166175.0,193352.0,6685.0
2012-08-14,820949.0,84025.0,213695.0,-129670.0,-21035.0,10.53,369559.0,164417.0,205142.0,11791.0
2012-08-21,834977.0,83996.0,219374.0,-135378.0,-5707.0,7.83,371184.0,163704.0,207480.0,2338.0
2012-08-28,848540.0,91495.0,225754.0,-134259.0,1118.0,8.62,372881.0,167664.0,205217.0,-2262.0
2012-09-04,861624.0,86395.0,230663.0,-144268.0,-10009.0,4.27,363840.0,169020.0,194820.0,-10398.0
2012-09-11,871458.0,97927.0,229323.0,-131396.0,12872.0,12.71,363043.0,163763.0,199280.0,4460.0
2012-09-18,976025.0,106346.0,218300.0,-111954.0,19443.0,32.77,380691.0,158206.0,222485.0,23206.0
2012-09-25,754465.0,95781.0,172439.0,-76658.0,35294.0,72.5,385312.0,160161.0,225151.0,2666.0
2012-10-02,777618.0,103191.0,186699.0,-83508.0,-6849.0,65.29,391461.0,164155.0,227306.0,2156.0
2012-10-09,775286.0,102058.0,185393.0,-83335.0,172.0,65.57,387818.0,158822.0,228996.0,1690.0
2012-10-16,784344.0,108623.0,177270.0,-68647.0,14689.0,78.05,389004.0,155354.0,233650.0,4654.0
2012-10-23,805026.0,104514.0,183579.0,-79065.0,-10419.0,70.16,395890.0,161377.0,234513.0,863.0
2012-10-30,809024.0,105925.0,180471.0,-74546.0,4521.0,74.4,399499.0,162442.0,237057.0,2544.0
2012-11-06,807567.0,110045.0,178964.0,-68919.0,5626.0,77.78,380878.0,156609.0,224269.0,-12789.0
2012-11-13,828091.0,121486.0,181209.0,-59723.0,9196.0,84.25,356379.0,167830.0,188549.0,-35721.0
2012-11-20,852640.0,110296.0,185219.0,-74923.0,-15200.0,72.66,353459.0,160953.0,192506.0,3957.0
2012-11-27,847506.0,111642.0,188937.0,-77295.0,-2371.0,69.77,359918.0,160036.0,199882.0,7376.0
2012-12-04,851897.0,113338.0,178799.0,-65461.0,11834.0,80.77,348557.0,154549.0,194008.0,-5874.0
2012-12-11,866940.0,126504.0,166956.0,-40452.0,25008.0,99.24,343006.0,153487.0,189519.0,-4488.0
2012-12-18,923950.0,129047.0,166990.0,-37943.0,2509.0,99.24,348466.0,144476.0,203990.0,14471.0
2012-12-24,728890.0,87340.0,154929.0,-67589.0,-29645.0,76.69,363376.0,140685.0,222691.0,18702.0
2012-12-31,739159.0,93171.0,153700.0,-60529.0,7060.0,82.84,355826.0,140197.0,215629.0,-7062.0
2013-01-08,751437.0,82851.0,165725.0,-82874.0,-22345.0,60.0,358858.0,133694.0,225164.0,9536.0
2013-01-15,754799.0,85914.0,176557.0,-90643.0,-7769.0,52.94,355387.0,131149.0,224238.0,-926.0
2013-01-22,788046.0,85490.0,189091.0,-103601.0,-12958.0,37.96,362105.0,128735.0,233370.0,9133.0
2013-01-29,805010.0,90249.0,190385.0,-100136.0,3466.0,39.86,374121.0,128694.0,245427.0,12057.0
2013-02-05,807925.0,88332.0,185313.0,-96981.0,3155.0,44.6,359570.0,133753.0,225817.0,-19611.0
2013-02-12,830577.0,85280.0,190193.0,-104913.0,-7932.0,35.71,352318.0,133101.0,219217.0,-6600.0
2013-02-19,856539.0,101427.0,199301.0,-97874.0,7039.0,41.84,346110.0,134602.0,211508.0,-7709.0
2013-02-26,875260.0,99243.0,196726.0,-97483.0,391.0,43.66,340947.0,139286.0,201661.0,-9847.0
2013-03-05,892367.0,120526.0,198974.0,-78448.0,19035.0,67.83,309481.0,130210.0,179271.0,-22389.0
2013-03-12,1017100.0,126084.0,206121.0,-80037.0,-1589.0,64.58,320023.0,128493.0,191530.0,12259.0
2013-03-19,724003.0,106324.0,174319.0,-67995.0,12042.0,77.24,335604.0,130731.0,204873.0,13342.0
2013-03-26,745524.0,108150.0,184654.0,-76504.0,-8508.0,69.86,343814.0,129925.0,213889.0,9017.0
2013-04-02,763804.0,108734.0,190654.0,-81920.0,-5417.0,61.22,347261.0,129715.0,217546.0,3657.0
2013-04-09,775766.0,118070.0,181527.0,-63457.0,18463.0,82.43,349107.0,138679.0,210428.0,-7118.0
2013-04-16,772200.0,116275.0,185851.0,-69576.0,-6119.0,75.17,348994.0,129986.0,219008.0,8580.0
2013-04-23,782302.0,111083.0,179058.0,-67975.0,1601.0,77.33,338406.0,131563.0,206843.0,-12165.0
2013-04-30,791342.0,125606.0,182912.0,-57306.0,10669.0,91.39,338920.0,129645.0,209275.0,2433.0
2013-05-07,816274.0,129585.0,195931.0,-66346.0,-9040.0,78.29,339607.0,128628.0,210979.0,1703.0
2013-05-14,846248.0,129442.0,207612.0,-78170.0,-11825.0,65.36,345770.0,124194.0,221576.0,10597.0
2013-05-21,860454.0,117016.0,205936.0,-88920.0,-10751.0,52.6,363392.0,126564.0,236828.0,15252.0
2013-05-28,876502.0,113073.0,211033.0,-97960.0,-9039.0,38.06,368767.0,128818.0,239949.0,3121.0
2013-06-04,867486.0,106729.0,202052.0,-95323.0,2637.0,46.15,361309.0,135043.0,226266.0,-13684.0
2013-06-11,894602.0,102528.0,195097.0,-92569.0,2754.0,48.41,351860.0,138449.0,213411.0,-12855.0
2013-06-18,991389.0,109315.0,198548.0,-89233.0,3336.0,52.23,358846.0,134604.0,224242.0,10831.0
2013-06-25,703009.0,100211.0,143027.0,-42816.0,46415.0,97.45,332368.0,153015.0,179353.0,-44889.0
2013-07-02,703729.0,98887.0,149599.0,-50712.0,-7896.0,94.9,323720.0,143924.0,179796.0,443.0
2013-07-09,705746.0,96293.0,155687.0,-59394.0,-8681.0,85.35,331386.0,138605.0,192781.0,12984.0
2013-07-16,716164.0,99339.0,165397.0,-66058.0,-6664.0,77.07,335096.0,134768.0,200328.0,7548.0
2013-07-23,727263.0,102405.0,174063.0,-71658.0,-5600.0,71.34,343892.0,129252.0,214640.0,14311.0
2013-07-30,730838.0,106551.0,173357.0,-66806.0,4852.0,75.8,345706.0,129018.0,216688.0,2047.0
2013-08-06,732142.0,95236.0,171702.0,-76466.0,-9661.0,64.97,343609.0,128702.0,214907.0,-1781.0
2013-08-13,738273.0,95409.0,175715.0,-80306.0,-3839.0,57.32,336626.0,129284.0,207342.0,-7564.0
2013-08-20,754996.0,92840.0,165099.0,-72259.0,8047.0,70.06,327608.0,135473.0,192135.0,-15207.0
2013-08-27,780789.0,88339.0,168434.0,-80095.0,-7836.0,56.69,321529.0,136921.0,184608.0,-7527.0
2013-09-03,789961.0,91986.0,176686.0,-84700.0,-4605.0,49.04,313869.0,130217.0,183652.0,-956.0
2013-09-10,810027.0,92372.0,182138.0,-89766.0,-5066.0,44.59,314762.0,120275.0,194487.0,10834.0
2013-09-17,917682.0,103239.0,177690.0,-74451.0,15315.0,66.88,319321.0,120845.0,198476.0,3989.0
2013-09-24,675574.0,94248.0,146695.0,-52447.0,22005.0,93.63,315377.0,119024.0,196353.0,-2123.0
2013-10-01,677685.0,93291.0,143393.0,-50102.0,2345.0,94.9,302244.0,113961.0,188283.0,-8069.0
2013-10-08,701923.0,99685.0,146020.0,-46335.0,3767.0,95.54,299046.0,121141.0,177905.0,-10379.0
2013-10-15,695078.0,105935.0,146007.0,-40072.0,6262.0,98.73,296794.0,118777.0,178017.0,112.0
2013-10-22,708537.0,107411.0,147913.0,-40502.0,-431.0,97.45,306930.0,116067.0,190863.0,12847.0
2013-10-29,721121.0,108644.0,150252.0,-41608.0,-1105.0,96.82,316267.0,112406.0,203861.0,12998.0
2013-11-05,728659.0,109208.0,155475.0,-46267.0,-4659.0,95.54,308368.0,113029.0,195339.0,-8523.0
2013-11-12,728575.0,113224.0,157592.0,-44368.0,1899.0,95.54,307645.0,113271.0,194374.0,-964.0
2013-11-19,745718.0,109430.0,155321.0,-45891.0,-1524.0,94.9,308308.0,114237.0,194071.0,-303.0
2013-11-26,741827.0,110332.0,156000.0,-45668.0,223.0,94.9,306803.0,114337.0,192466.0,-1605.0
2013-12-03,748300.0,112648.0,156502.0,-43854.0,1815.0,95.54,299329.0,113494.0,185835.0,-6632.0
2013-12-10,764651.0,112101.0,156562.0,-44461.0,-607.0,94.27,303377.0,112810.0,190567.0,4732.0
2013-12-17,873627.0,113473.0,142327.0,-28854.0,15607.0,100.0,302970.0,116354.0,186616.0,-3951.0
2013-12-24,684782.0,107271.0,157302.0,-50031.0,-21179.0,90.45,317582.0,103644.0,213938.0,27322.0
2013-12-31,700432.0,108808.0,161711.0,-52903.0,-2872.0,87.9,316962.0,99913.0,217049.0,3111.0
2014-01-07,699646.0,106315.0,157188.0,-50873.0,2030.0,88.54,318368.0,100555.0,217813.0,764.0
2014-01-14,719529.0,107764.0,167540.0,-59776.0,-8903.0,80.89,325455.0,102003.0,223452.0,5638.0
2014-01-21,722076.0,104402.0,172204.0,-67802.0,-8026.0,73.25,325991.0,103503.0,222488.0,-963.0
2014-01-28,743768.0,112908.0,175695.0,-62787.0,5016.0,79.62,311069.0,108673.0,202396.0,-20092.0
2014-02-04,771947.0,111344.0,183180.0,-71836.0,-9048.0,68.15,302068.0,119097.0,182971.0,-19424.0
2014-02-11,808380.0,105003.0,196650.0,-91647.0,-19813.0,41.4,315879.0,106570.0,209309.0,26339.0
2014-02-18,833784.0,103026.0,199631.0,-96605.0,-4957.0,34.39,313151.0,101902.0,211249.0,1940.0
2014-02-25,851046.0,99661.0,191726.0,-92065.0,4539.0,40.13,299557.0,104770.0,194787.0,-16461.0
