Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Asset Class,Expected Return E[R] [%],Signal Alpha Per Trade [%],R:R Static,R:R Dynamic,Theoretical Entry Price [$],Reward Remaining [%],Signal Quality Composite Score,Timeliness Score
OSCILLATOR DELTA,"RELIANCE.NS, Long, 2026-06-15 (Price: 1307.0)",Daily,2026-06-24 (Price: 1313.6),No Price Target,No Date Target,2.05%/3.91%,"0.85%, 10 days","2026-06-25 (Price: 1318.1), 0.85% above",1369.6053 (Historic Rise or Fall to Pivot)/1345.1644 (Avg % Gain of Historic Winning trades)/1489.98 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1421.12 (EMA 200)/1486.7125 (Backtested Max),2026-12-05 (Max)/2026-07-19 (Avg),No Recent Minima/1016.3918/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"95.24%, Past 6 years, 21",1315.3,No Information,No Information,No Information,No Information,No Information,No Information,13.75%/0.08%/2.92%,-11.14%/-11.14%/-11.14%,"11.14%, 12.26%",4 months/2 days/24 days,4 months/0 days/25 days,10.52%,5.82%,4.7%,0.42,0.3,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),equity,2.25%,1.67%,1.29,1.19,1307.0000,70.9%,38.5,0
PULSEGAUGE,"ATD.TO, Long, 2023-11-29 (Price: 76.23)",Weekly,2026-06-23 (Price: 91.87),95.0969 (Avg % Gain of Historic Winning trades)/93.6409 (Backtested Min),No Date Target,2.75%/9.52%,"22.75%, 2.6 years","2026-06-25 (Price: 93.57), 22.75% above",96.14 (F-Stack 2)/102.476 (Backtested Max),2028-03-11 (Max),68.98/39.8362/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"89.47%, Past 25 years, 19",79.2,No Information,No Information,No Information,No Information,No Information,No Information,34.43%/22.84%/24.75%,-34.5%/-35.58%/-35.04%,"35.58%, 43.13%",3 years/7 days/7.9 months,3 years/0 days/7.3 months,12.64%,14.04%,-1.4%,0.69,0.05,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,18.45%,6.25%,0.94,0.21,76.2300,8.1%,23.4,87
DELTADRIFT,"EFN.TO, Long, 2026-06-07 (Price: 26.79)",Weekly,2026-06-25 (Price: 29.59),29.3511 (Historic Rise or Fall to Pivot)/29.82 (Function Specific Target),No Date Target,2.39%/10.7%,"10.45%, 18 days","2026-06-25 (Price: 29.59), 10.45% above",30.2968 (Avg % Gain of Historic Winning trades)/34.925 (Horizontal)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/33.46 (EMA 200)/32.7561 (Backtested Max),2026-09-27 (Max)/2026-07-17 (Avg),21.35/12.67/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"83.33%, Past 15 years, 6",26.92,No Information,No Information,No Information,No Information,No Information,No Information,22.27%/6.58%/13.09%,-43.16%/-43.16%/-43.16%,"43.16%, 45.87%",2.6 months/7 days/28 days,7.9 months/0 days/1.9 month,2.99%,9.0%,-6.01%,0.04,0.45,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),equity,3.71%,1.68%,0.47,0.10,26.7900,20.2%,3.8,0
DELTADRIFT,"NAUKRI.NS, Long, 2026-05-31 (Price: 995.0)",Weekly,No Exit Yet,No Price Target,2026-06-26 (Avg),8.44%/11.52%,"-1.62%, 25 days","2026-06-25 (Price: 978.85), 1.62% below",1419.1685 (Historic Rise or Fall to Pivot)/1091.6145 (Avg % Gain of Historic Winning trades)/1255.39 (Function Specific Target)/1483.595 (Horizontal)/2223.4618 (F-Stack 1)/2377.3661 (F-Stack 2)/1182.64 (EMA 200)/1111.7135 (Backtested Max)/1061.466 (Backtested Min),2026-07-22 (Max)/2026-06-26 (Avg),928.1/662.12/920.5126/832.4874/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"80.0%, Past 15 years, 5",964.45,No Information,No Information,No Information,No Information,No Information,No Information,11.73%/6.68%/9.71%,-22.33%/-22.33%/-22.33%,"22.33%, 28.55%",1.2 month/7 days/18 days,8.4 months/0 days/2 months,3.62%,12.8%,-9.18%,0.05,0.62,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),equity,3.30%,0.25%,1.87,1.56,995.0000,100.0%,-1.6,0
PULSEGAUGE,"MEL.NZ, Long, 2026-04-28 (Price: 5.53)",Weekly,No Exit Yet,No Price Target,2026-06-23 (Min),11.53%/13.69%,"5.24%, 1.9 month","2026-06-25 (Price: 5.82), 5.24% above",6.6166 (Avg % Gain of Historic Winning trades)/7.4565 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/6.9484 (Backtested Max)/6.4911 (Backtested Min),2027-09-27 (Max)/2027-03-06 (Avg),5.35/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 12 years, 7",5.59,No Information,No Information,No Information,No Information,No Information,No Information,25.65%/17.38%/19.65%,-26.08%/-26.08%/-26.08%,"26.08%, 32.1%",11.9 months/1.3 month/7.2 months,11.9 months/0 days/5.3 months,7.79%,7.68%,0.11%,0.52,-0.12,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,13.12%,8.27%,2.43,1.85,5.5300,73.3%,27.1,93
TRENDPULSE,"AIA.NZ, Long, 2026-02-23 (Price: 8.95)",Daily,2026-06-23 (Price: 8.36),No Price Target,No Date Target,9.64%/10.43%,"-5.59%, 4.1 months","2026-06-25 (Price: 8.45), 5.59% below",9.3313 (Historic Rise or Fall to Pivot)/9.265 (Avg % Gain of Historic Winning trades)/9.82 (Function Specific Target)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/9.5854 (Backtested Max),2026-09-15 (Max),8.13/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.94,"91.67%, Past 4 years, 36",8.85,No Information,No Information,No Information,No Information,No Information,4.84% below/5.59% below/5.59% below,7.1%/0.39%/3.52%,-3.83%/-6.37%/-5.35%,"6.37%, 18.81%",4.7 months/7 days/1.1 month,11.9 months/0 days/1.6 month,10.06%,3.03%,7.03%,0.58,0.11,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,2.78%,2.20%,0.93,2.22,8.0599,100.0%,31.8,20
TRENDPULSE,"BYD.TO, Long, 2023-12-31 (Price: 278.49)",Monthly,2026-06-25 (Price: 135.27),No Price Target,No Date Target,150.51%/171.5%,"-51.43%, 2.5 years","2026-06-25 (Price: 135.27), 51.43% below",408.6841 (Historic Rise or Fall to Pivot)/367.2583 (F-Stack 2)/338.8666 (Backtested Max),No Next Date Target,138.66/166.48/229.0045/147.1212/No F-Track Level/No F-Track Level/241.57,"93.75%, Past 20 years, 16",258.84,No Information,No Information,No Information,No Information,No Information,47.72% below/51.43% below/51.43% below,21.68%/5.8%/10.46%,-53.77%/-53.77%/-53.77%,"53.77%, 59.58%",1.1 year/5.1 months/9.9 months,2.5 years/0 days/9.9 months,12.45%,8.21%,4.24%,0.12,0.41,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),equity,6.45%,-3.23%,N/A,N/A,91.5719,100.0%,8.9,92
PULSEGAUGE,"EBO.NZ, Long, 2026-04-23 (Price: 21.21)",Weekly,No Exit Yet,No Price Target,2026-06-22 (Min),5.94%/18.52%,"-3.63%, 2.1 months","2026-06-25 (Price: 20.44), 3.63% below",21.6533 (Historic Rise or Fall to Pivot)/24.453 (Avg % Gain of Historic Winning trades)/51.6772 (Function Specific Target)/46.625 (Horizontal)/51.6772 (F-Stack 1)/55.325 (F-Stack 2)/25.23 (EMA 200)/24.7436 (Backtested Max)/24.2261 (Backtested Min),2028-08-04 (Max)/2027-04-01 (Avg),No Recent Minima/No Horizontal Support/19.4238/18.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"76.47%, Past 25 years, 17",22.23,No Information,No Information,No Information,No Information,No Information,No Information,16.66%/14.22%/15.29%,-20.57%/-22.77%/-21.86%,"22.77%, 29.62%",1.6 year/1.4 month/7.9 months,1.6 year/0 days/7.7 months,5.08%,6.36%,-1.28%,0.21,-0.22,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,6.55%,0.72%,3.08,5.11,21.2100,100.0%,2.4,87
SIGMASHELL,"SUM.NZ, Long, 2026-05-01 (Price: 8.2)",Daily,No Exit Yet,No Price Target,2026-06-26 (Min),6.69%/20.68%,"2.93%, 1.8 month","2026-06-25 (Price: 8.44), 2.93% above",9.0044 (Avg % Gain of Historic Winning trades)/16.1691 (Function Specific Target)/12.6867 (Horizontal)/16.1691 (F-Stack 1)/19.8479 (F-Stack 2)/10.43 (EMA 200)/10.1852 (Backtested Max),2026-12-25 (Max)/2026-06-26 (Min)/2026-08-17 (Avg),7.99/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"73.33%, Past 5 years, 15",8.16,"-15.41, 61.37%",No Information,No Information,No Information,No Information,No Information,24.21%/0.1%/9.81%,-5.59%/-25.59%/-14.12%,"25.59%, 38.29%",5.5 months/1.3 month/2.5 months,1.5 year/0 days/3.7 months,0.05%,8.98%,-8.93%,0.03,0.49,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),equity,3.43%,-0.53%,1.84,1.16,8.2000,70.2%,-8.0,80
TRENDPULSE,"ASHR, Long, 2026-01-31 (Price: 33.44)",Monthly,No Exit Yet,36.8676 (Historic Rise or Fall to Pivot),No Date Target,6.51%/8.88%,"9.72%, 4.8 months","2026-06-25 (Price: 36.69), 9.72% above",40.3253 (Avg % Gain of Historic Winning trades)/41.23 (Function Specific Target)/39.9467 (Horizontal)/60.2967 (F-Stack 1)/80.3432 (F-Stack 2)/40.9473 (Backtested Max)/39.078 (Backtested Min),2026-10-23 (Max)/2026-10-18 (Min)/2026-10-23 (Max),25.82/23.68/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/30.41,"100.0%, Past 20 years, 5",33.26,No Information,No Information,No Information,No Information,No Information,11.69% above/10.11% above/9.72% above,22.45%/16.86%/20.59%,N/A,"-0.0%, 12.65%",6.1 months/6 months/6.1 months,6.1 months/0 days/3.6 months,6.81%,1.91%,4.9%,1.07,0.06,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),equity_etf,20.59%,19.77%,1.20,0.54,32.8499,52.8%,62.1,84
TRENDPULSE,"BBTC.NS, Long, 2026-05-14 (Price: 1537.9)",Daily,2026-06-25 (Price: 1556.7),No Price Target,No Date Target,2.87%/6.6%,"1.22%, 1.4 month","2026-06-25 (Price: 1556.7), 1.22% above",1601.4153 (Historic Rise or Fall to Pivot)/1659.3941 (Avg % Gain of Historic Winning trades)/1756.96 (Function Specific Target)/2145.0 (Horizontal)/3412.111 (F-Stack 1)/3761.7441 (F-Stack 2)/1773.69 (EMA 200)/1765.2016 (Backtested Max),2026-11-21 (Max)/2026-07-31 (Avg),1465.6/846.25/1057.7422/973.2526/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"91.3%, Past 4 years, 23",1532.5,No Information,No Information,No Information,No Information,No Information,6.22% above/1.22% above/1.22% above,14.78%/0.49%/7.9%,-13.42%/-13.42%/-13.42%,"13.42%, 27.11%",4.4 months/7 days/1.8 month,7.7 months/0 days/2 months,12.03%,4.38%,7.65%,0.5,0.26,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,6.05%,5.00%,1.35,1.06,1465.5432,84.5%,44.6,80
TRENDPULSE,"BEL.NS, Long, 2026-06-18 (Price: 428.6)",Daily,No Exit Yet,No Price Target,2026-06-23 (Min),6.42%/6.46%,"-4.99%, 7 days","2026-06-25 (Price: 407.2), 4.99% below",465.9311 (Historic Rise or Fall to Pivot)/453.2874 (Avg % Gain of Historic Winning trades)/455.51 (Function Specific Target)/433.5 (Horizontal)/456.8119 (F-Stack 1)/613.9011 (F-Stack 2)/520.4061 (Backtested Max)/433.3575 (Backtested Min),2026-11-12 (Max)/2026-07-31 (Avg),402.3/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/418.33,"100.0%, Past 4 years, 28",422.5,No Information,No Information,No Information,No Information,No Information,3.01% below/4.99% below/4.99% below,21.42%/1.11%/5.76%,N/A,"-0.0%, 22.01%",3.4 months/4 days/1 month,3.4 months/0 days/29 days,27.61%,37.89%,-10.28%,0.99,1.93,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,5.76%,1.40%,4.79,8.09,395.3014,100.0%,44.8,0
DELTADRIFT,"NZDUSD=X, Long, 2026-06-25 (Price: 0.5647)",Daily,No Exit Yet,No Price Target,2026-06-26 (Min),0.9%/0.94%,"0.0%, 0 days","2026-06-25 (Price: 0.5647), 0.0% below",0.577 (Historic Rise or Fall to Pivot)/0.572 (Avg % Gain of Historic Winning trades)/0.57 (Function Specific Target)/0.714 (Horizontal)/0.58 (EMA 200)/0.5767 (Backtested Max)/0.5698 (Backtested Min),2026-10-15 (Max)/2026-06-26 (Min)/2026-07-26 (Avg),0.56/0.5528/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,"76.47%, Past 4 years, 17",0.565,No Information,No Information,No Information,No Information,No Information,No Information,2.12%/0.9%/1.3%,-2.05%/-4.65%/-3.03%,"4.65%, 5.12%",2.6 months/1 day/22 days,2.6 months/1 day/25 days,3.87%,-2.71%,6.58%,0.02,-0.75,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),currency,0.28%,0.55%,1.56,1.62,0.5647,100.0%,12.7,100
DELTADRIFT,"ZM, Long, 2026-06-23 (Price: 86.445)",Daily,No Exit Yet,No Price Target,2026-06-24 (Min),5.26%/7.76%,"-4.12%, 2 days","2026-06-25 (Price: 82.88), 4.12% below",91.4156 (Historic Rise or Fall to Pivot)/91.139 (Avg % Gain of Historic Winning trades)/91.28 (Function Specific Target)/96.845 (Horizontal)/87.24 (EMA 200)/93.5854 (Backtested Max)/89.315 (Backtested Min),2026-07-27 (Max)/2026-07-04 (Avg),84.34/55.345/80.6919/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"73.33%, Past 4 years, 15",84.3,No Information,No Information,No Information,No Information,No Information,No Information,8.26%/3.32%/5.43%,-12.99%/-20.11%/-15.67%,"20.11%, 21.62%",24 days/1 day/8 days,1.2 month/1 day/12 days,0.93%,-18.57%,19.5%,-0.03,-0.5,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),equity,-0.20%,0.69%,2.06,2.74,86.4450,100.0%,13.6,60
DELTADRIFT,"CAD=X, Short, 2026-06-23 (Price: 1.4158)",Daily,No Exit Yet,No Price Target,2026-06-24 (Min),-12.34%/-3.06%,"-0.54%, 2 days","2026-06-25 (Price: 1.4235), 0.54% above",1.415 (Historic Rise or Fall to Pivot)/1.409 (Avg % Gain of Historic Winning trades)/1.41 (Function Specific Target)/1.2478 (Horizontal)/1.38 (EMA 200),2026-07-08 (Max)/2026-06-30 (Avg),1.42/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 4 years, 7",1.4157,No Information,No Information,No Information,No Information,No Information,No Information,0.9%/0.24%/0.48%,-1.05%/-1.05%/-1.05%,"1.05%, 2.05%",11 days/1 day/5 days,11 days/1 day/5 days,3.98%,3.82%,0.16%,0.33,-0.27,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),currency,0.26%,0.26%,N/A,N/A,1.4158,100.0%,41.3,60
