"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"005930.KS, Long, 2026-05-06 (Price: 266000.0)",No Exit Yet,"0.94%, 2 days","76.19%, Past 4 years, 21","Daily, is CONFIRMED on 2026-05-06",Already confirmed,"2026-05-08 (Price: 268500.0), 0.94% above",2 days,"2, 2020-01-14 (Price: 61000.0)",2026-05-04 (Price: 232500.0),2026-05-06 (Price: 266000.0),4/2/2 days,15.48% above/0.94% above/0.94% above,2020-01-14 (Price: 61000.0)/2026-05-06 (Price: 232431.5068),8.86%/2.14%/4.2%,"8.77%, 22.76%",2.4 months/8 days/16 days,2026-08-18/2026-05-17/2026-05-29,7.09%,21.72%,-14.63%,0.13,1.13,280044.8/277172.0/389000.0/No Horizontal Resistance/No Target/268301.0/No EMA 200 Target,167200.0/50833.3333/185834.0/177417.2/No F-Track Level/No F-Track Level/126907.0,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),254000.0
"000660.KS, Long, 2026-05-06 (Price: 1601000.0)",No Exit Yet,"5.31%, 2 days","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2026-05-06",Already confirmed,"2026-05-08 (Price: 1686000.0), 5.31% above",2 days,"6, 2020-02-17 (Price: 106000.0)",2026-05-04 (Price: 1447000.0),2026-05-06 (Price: 1601000.0),4/2/2 days,16.52% above/5.31% above/5.31% above,2020-02-17 (Price: 106000.0)/2026-05-06 (Price: 1331164.7937),13.01%/3.54%/7.81%,"-0.0%, 25.91%",7.5 months/4 days/1.9 month,2027-03-27/2026-05-11/2026-07-27,18.31%,41.21%,-22.9%,1.91,1.75,1785435.2/1726038.1/2498000.0/No Horizontal Resistance/No Target/1674451.8/No EMA 200 Target,807000.0/96833.3333/1268276.0/1035951.0/No F-Track Level/No F-Track Level/636167.5,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),1590000.0
"DBC, Long, 2026-05-05 (Price: 31.2)",No Exit Yet,"-2.88%, 3 days","80.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-05-05",Already confirmed,"2026-05-08 (Price: 30.3), 2.88% below",3 days,"8, 2020-05-21 (Price: 11.74)",2026-05-01 (Price: 30.81),2026-05-05 (Price: 31.2),7/3/3 days,1.66% below/2.88% below/2.88% below,2020-05-21 (Price: 11.74)/2026-05-05 (Price: 30.8647),5.33%/0.43%/2.39%,"7.94%, 13.15%",3.3 months/6 days/24 days,2026-09-25/2026-05-13/2026-06-08,5.63%,12.89%,-7.26%,0.06,0.88,32.6882/31.9457/42.88/No Horizontal Resistance/60.6441/65.878/No EMA 200 Target,28.29/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/24.24,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),31.19
"USCI, Long, 2026-05-05 (Price: 100.995)",No Exit Yet,"-2.0%, 3 days","100.0%, Past 4 years, 17","Daily, is CONFIRMED on 2026-05-05",Already confirmed,"2026-05-08 (Price: 98.98), 2.0% below",3 days,"2, 2020-02-19 (Price: 34.13)",2026-05-04 (Price: 100.74),2026-05-05 (Price: 100.995),4/3/3 days,1.75% below/2.0% below/2.0% below,2020-02-19 (Price: 34.13)/2026-05-05 (Price: 100.0384),3.66%/0.89%/2.28%,"-0.0%, 7.84%",3.2 months/6 days/23 days,2026-09-21/2026-05-13/2026-06-07,8.96%,17.09%,-8.13%,1.82,1.3,107.2163/103.2977/141.11/No Horizontal Resistance/145.7006/219.8212/No EMA 200 Target,94.32/40.58/99.8906/No stop loss/No F-Track Level/No F-Track Level/82.15,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),100.92
"CNU.NZ, Long, 2026-05-05 (Price: 10.15)",No Exit Yet,"-0.2%, 3 days","75.0%, Past 4 years, 24","Daily, is CONFIRMED on 2026-05-05",Already confirmed,"2026-05-08 (Price: 10.13), 0.2% below",3 days,"2, 2020-01-17 (Price: 6.66)",2026-05-01 (Price: 10.02),2026-05-05 (Price: 10.15),7/3/3 days,1.1% above/0.2% below/0.2% below,2020-01-17 (Price: 6.66)/2026-05-05 (Price: 9.866),6.8%/0.41%/2.7%,"11.84%, 19.63%",3.4 months/7 days/1.3 month,2026-09-29/2026-05-15/2026-06-30,1.27%,3.95%,-2.68%,-0.12,0.17,10.5276/10.424/12.24/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,9.34/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/9.37,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),10.11
"BDGI.TO, Long, 2026-05-04 (Price: 80.22)",No Exit Yet,"4.84%, 4 days","90.91%, Past 4 years, 33","Daily, is CONFIRMED on 2026-05-04",Already confirmed,"2026-05-08 (Price: 84.1), 4.84% above",4 days,"4, 2026-01-19 (Price: 82.57)",2026-04-30 (Price: 65.7),2026-05-04 (Price: 80.22),8/4/4 days,28.01% above/4.84% above/4.84% above,2026-01-19 (Price: 82.57)/2026-05-04 (Price: 66.3338),9.61%/1.64%/5.04%,"19.0%, 30.91%",3.2 months/6 days/26 days,2026-09-20/2026-05-12/2026-06-10,16.85%,12.89%,3.96%,0.28,0.64,83.2283/84.2631/81.63/No Horizontal Resistance/No Target/83.2146/No EMA 200 Target,60.35/24.32/70.731/50.6117/No F-Track Level/No F-Track Level/66.64,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),79.31
"NOVA.F, Long, 2026-05-04 (Price: 37.82)",No Exit Yet,"2.91%, 4 days","92.31%, Past 4 years, 13","Daily, is CONFIRMED on 2026-05-04",Already confirmed,"2026-05-08 (Price: 38.92), 2.91% above",4 days,"2, 2020-01-20 (Price: 28.0)",2026-04-30 (Price: 36.04),2026-05-04 (Price: 37.82),8/4/4 days,7.99% above/2.91% above/2.91% above,2020-01-20 (Price: 28.0)/2026-05-04 (Price: 35.608),12.24%/1.53%/7.14%,"11.07%, 36.03%",1 month/7 days/18 days,2026-06-16/2026-05-14/2026-05-30,12.13%,3.25%,8.88%,0.78,0.21,39.798/40.5203/43.71/126.5/138.0871/146.706/42.82,32.66/No Horizontal Support/33.7767/28.7825/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),37.0
"AMZN, Long, 2026-05-03 (Price: 268.26)",No Exit Yet,"1.65%, 5 days","88.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-08 (Price: 272.68), 1.65% above",5 days,"2, 2025-11-09 (Price: 258.6)",2026-04-19 (Price: 250.56),2026-05-01 (Price: 268.26),19/7/5 days,8.83% above/1.65% above/1.65% above,2025-11-09 (Price: 258.6)/2026-05-03 (Price: 234.45),22.98%/2.35%/10.1%,"25.73%, 54.83%",1.1 year/28 days/4.9 months,2027-11-27/2026-06-12/2026-12-01,8.88%,16.61%,-7.73%,0.22,0.84,290.0427/295.3543/274.06/No Horizontal Resistance/317.6152/339.3352/No EMA 200 Target,198.79/86.995/231.81/213.1321/No F-Track Level/No F-Track Level/227.38,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),263.425
"RINF, Long, 2026-05-03 (Price: 32.56)",No Exit Yet,"-0.02%, 5 days","90.0%, Past 10 years, 10","Weekly, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-08 (Price: 32.555), 0.02% below",5 days,"4, 2022-10-30 (Price: 36.14)",2026-04-26 (Price: 32.26),2026-04-30 (Price: 32.4142),12/8/5 days,0.91% above/0.43% above/0.02% below,2022-10-30 (Price: 36.14)/2026-05-03 (Price: 32.1868),4.91%/1.48%/3.43%,"20.02%, 29.23%",10.7 months/1.2 month/5.6 months,2027-08-10/2026-06-24/2027-01-01,0.41%,-0.95%,1.36%,-0.17,-0.45,33.0614/33.6768/34.71/35.1525/41.8158/48.2716/No EMA 200 Target,31.79/28.7133/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/32.38,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),32.25
"MEL.NZ, Long, 2026-05-03 (Price: 5.72)",No Exit Yet,"0.7%, 5 days","100.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-08 (Price: 5.76), 0.7% above",5 days,"8, 2024-07-21 (Price: 6.89)",2026-04-19 (Price: 5.54),2026-05-01 (Price: 5.72),19/7/5 days,3.97% above/0.7% above/0.7% above,2024-07-21 (Price: 6.89)/2026-05-03 (Price: 5.4553),24.31%/3.73%/10.23%,"-0.0%, 22.1%",3.3 months/1.4 month/1.8 month,2026-09-23/2026-07-02/2026-07-20,11.03%,7.59%,3.44%,0.58,0.4,6.2325/6.3052/6.42/6.825/7.4565/8.4213/No EMA 200 Target,5.35/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/5.67,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),5.59
"GRANULES.NS, Long, 2026-05-03 (Price: 701.0)",No Exit Yet,"7.41%, 5 days","72.73%, Past 10 years, 33","Weekly, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-08 (Price: 752.95), 7.41% above",5 days,"4, 2016-05-01 (Price: 138.9)",2026-04-26 (Price: 689.45),2026-05-03 (Price: 701.0),12/5/5 days,9.21% above/7.41% above/7.41% above,2016-05-01 (Price: 138.9)/2026-05-03 (Price: 665.9684),47.31%/2.41%/11.99%,"22.94%, 56.91%",4.9 months/1.2 month/2.1 months,2026-12-01/2026-06-24/2026-08-02,16.43%,22.66%,-6.23%,0.14,0.98,849.0512/785.0499/1038.26/No Horizontal Resistance/732.8952/884.591/No EMA 200 Target,562.2/229.525/696.635/643.2768/No F-Track Level/No F-Track Level/558.35,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),690.0
"PPL.TO, Long, 2026-05-03 (Price: 63.2)",No Exit Yet,"-0.98%, 5 days","83.33%, Past 10 years, 18","Weekly, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-08 (Price: 62.58), 0.98% below",5 days,"0, 2024-10-20 (Price: 59.86)",2026-04-26 (Price: 59.29),2026-05-01 (Price: 63.2),12/7/5 days,5.55% above/0.98% below/0.98% below,2024-10-20 (Price: 59.86)/2026-05-03 (Price: 58.8247),8.32%/2.92%/5.56%,"31.85%, 56.46%",2.3 years/1.2 month/9.5 months,2029-08-12/2026-06-24/2027-06-19,2.46%,4.73%,-2.27%,-0.09,0.23,66.2083/66.7139/65.2/No Horizontal Resistance/65.6559/68.3455/No EMA 200 Target,58.17/37.49/56.5867/51.3443/No F-Track Level/No F-Track Level/55.41,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),59.37
"BDGI.TO, Long, 2026-05-01 (Price: 78.36)",2026-05-07 (Price: 83.08),"6.02%, 6 days","90.91%, Past 4 years, 33","Daily, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-08 (Price: 84.1), 7.33% above",7 days,"2, 2026-01-19 (Price: 82.57)",2026-04-29 (Price: 64.28),2026-05-01 (Price: 78.36),9/7/7 days,30.83% above/7.33% above/7.33% above,2026-01-19 (Price: 82.57)/2026-05-01 (Price: 62.0026),9.61%/1.64%/5.04%,"19.0%, 30.91%",3.2 months/6 days/26 days,2026-09-17/2026-05-09/2026-06-07,16.85%,12.89%,3.96%,0.28,0.64,81.2985/82.3093/80.89/No Horizontal Resistance/79.9248/83.2146/No EMA 200 Target,60.35/24.32/70.731/50.6117/No F-Track Level/No F-Track Level/66.5,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),71.66
"NVO, Long, 2026-05-01 (Price: 43.88)",2026-05-08 (Price: 46.07),"4.99%, 7 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2026-05-01",Already confirmed,"2026-05-08 (Price: 46.07), 4.99% above",7 days,"2, 2020-01-15 (Price: 31.345)",2026-04-30 (Price: 42.22),2026-05-01 (Price: 43.88),8/7/7 days,9.12% above/4.99% above/4.99% above,2020-01-15 (Price: 31.345)/2026-05-01 (Price: 42.0333),9.26%/2.25%/4.62%,"19.24%, 37.28%",1.6 month/4 days/16 days,2026-07-09/2026-05-06/2026-05-24,4.86%,4.34%,0.52%,0.1,0.25,46.0038/45.9073/51.4/139.01/157.4212/211.8775/50.08,38.52/No Horizontal Support/37.3162/32.5538/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),43.31
"^TNX, Long, 2026-04-30 (Price: 4.39)",No Exit Yet,"-0.59%, 8 days","85.71%, Past 20 years, 14","Monthly, is CONFIRMED on 2026-04-30",Already confirmed,"2026-05-08 (Price: 4.364), 0.59% below",8 days,"2, 2025-01-31 (Price: 4.809)",2026-04-30 (Price: 4.39),2026-04-22 (Price: 4.294),8/16/8 days,0.59% below/1.63% above/0.59% below,2025-01-31 (Price: 4.809)/2026-04-30 (Price: 4.134),48.31%/4.17%/29.27%,"56.79%, 83.03%",1.4 year/4.1 months/6.5 months,2028-04-27/2026-10-23/2027-02-06,0.6%,-0.57%,1.17%,0.28,0.01,5.1986/5.675/4.64/4.6918/17.4008/18.8284/No EMA 200 Target,3.96/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/4.19,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),4.293
"QQQ, Long, 2026-04-30 (Price: 667.74)",2026-05-06 (Price: 695.77),"4.2%, 6 days","75.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-04-30",Already confirmed,"2026-05-08 (Price: 711.23), 6.51% above",8 days,"0, 2024-07-10 (Price: 503.52)",2026-04-28 (Price: 657.55),2026-04-30 (Price: 667.74),10/8/8 days,8.16% above/6.51% above/6.51% above,2024-07-10 (Price: 503.52)/2026-04-30 (Price: 656.8551),6.55%/0.6%/3.34%,"2.59%, 22.88%",27 days/6 days/13 days,2026-06-08/2026-05-08/2026-05-18,11.2%,13.97%,-2.77%,0.42,0.86,703.1302/690.0425/766.27/No Horizontal Resistance/836.2536/910.0135/No EMA 200 Target,558.28/256.995/610.7303/563.3658/No F-Track Level/No F-Track Level/603.5,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),665.31
"^NDX, Long, 2026-04-30 (Price: 27452.1191)",2026-05-06 (Price: 28599.1719),"4.18%, 6 days","91.67%, Past 4 years, 24","Daily, is CONFIRMED on 2026-04-30",Already confirmed,"2026-05-08 (Price: 29234.9941), 6.49% above",8 days,"0, 2024-07-10 (Price: 20690.9707)",2026-04-28 (Price: 27029.0117),2026-04-30 (Price: 27452.1191),10/8/8 days,8.16% above/6.49% above/6.49% above,2024-07-10 (Price: 20690.9707)/2026-04-30 (Price: 27003.8267),6.54%/0.57%/3.5%,"2.59%, 22.93%",3.3 months/6 days/22 days,2026-09-20/2026-05-08/2026-05-31,11.76%,13.99%,-2.23%,1.07,0.85,28602.3629/28412.9433/31508.81/No Horizontal Resistance/33965.62/36701.6323/No EMA 200 Target,22953.38/10555.915/25025.4383/22796.2371/No F-Track Level/No F-Track Level/24799.75,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),27328.9863
"2807.HK, Long, 2026-04-30 (Price: 60.94)",2026-05-07 (Price: 65.3),"7.15%, 7 days","93.33%, Past 4 years, 15","Daily, is CONFIRMED on 2026-04-30",Already confirmed,"2026-05-08 (Price: 65.96), 8.24% above",8 days,"2, 2026-01-28 (Price: 69.76)",2026-04-28 (Price: 60.24),2026-04-30 (Price: 60.94),10/8/8 days,9.5% above/8.24% above/8.24% above,2026-01-28 (Price: 69.76)/2026-04-30 (Price: 59.7948),36.62%/1.62%/8.3%,"1.56%, 38.74%",4.5 months/6 days/1.1 month,2026-11-11/2026-05-08/2026-06-16,12.55%,2.95%,9.6%,0.74,0.18,65.9249/65.998/66.23/68.95/70.5889/81.716/No EMA 200 Target,54.2/35.45/58.164/55.3226/No F-Track Level/No F-Track Level/58.32,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),60.56
"RELIANCE.NS, Long, 2026-04-29 (Price: 1425.4)",2026-05-07 (Price: 1436.2),"0.76%, 8 days","88.89%, Past 4 years, 27","Daily, is CONFIRMED on 2026-04-29",Already confirmed,"2026-05-08 (Price: 1435.2), 0.69% above",9 days,"2, 2025-12-23 (Price: 1580.9)",2026-04-28 (Price: 1388.9),2026-04-29 (Price: 1425.4),10/9/9 days,3.33% above/0.69% above/0.69% above,2025-12-23 (Price: 1580.9)/2026-04-29 (Price: 1360.6879),10.65%/0.45%/3.44%,"13.97%, 27.42%",5.7 months/7 days/1.3 month,2027-01-01/2026-05-09/2026-06-24,4.24%,9.08%,-4.84%,0.3,0.51,1467.4493/1474.4338/1518.7/1610.3/1879.7264/2065.5547/1436.69,1304.6/1024.7604/1375.0525/1288.3015/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),1392.0
"QQQ, Long, 2026-04-27 (Price: 664.23)",2026-05-06 (Price: 695.77),"4.75%, 9 days","75.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-04-27",Already confirmed,"2026-05-08 (Price: 711.23), 7.08% above",11 days,"0, 2024-07-10 (Price: 503.52)",2026-04-23 (Price: 651.42),2026-04-27 (Price: 664.23),15/11/11 days,9.18% above/7.08% above/7.08% above,2024-07-10 (Price: 503.52)/2026-04-27 (Price: 655.9057),6.55%/0.6%/3.34%,"2.59%, 22.88%",27 days/6 days/13 days,2026-06-05/2026-05-05/2026-05-15,11.2%,13.97%,-2.77%,0.42,0.86,699.4342/686.4153/760.66/No Horizontal Resistance/836.2536/910.0135/No EMA 200 Target,558.28/256.995/610.7303/563.3658/No F-Track Level/No F-Track Level/601.9,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),663.385
"^NDX, Long, 2026-04-27 (Price: 27305.6777)",2026-05-06 (Price: 28599.1719),"4.74%, 9 days","91.67%, Past 4 years, 24","Daily, is CONFIRMED on 2026-04-27",Already confirmed,"2026-05-08 (Price: 29234.9941), 7.07% above",11 days,"0, 2024-07-10 (Price: 20690.9707)",2026-04-23 (Price: 26782.625),2026-04-27 (Price: 27305.6777),15/11/11 days,9.16% above/7.07% above/7.07% above,2024-07-10 (Price: 20690.9707)/2026-04-27 (Price: 26964.5105),6.54%/0.57%/3.5%,"2.59%, 22.93%",3.3 months/6 days/22 days,2026-09-17/2026-05-05/2026-05-28,11.76%,13.99%,-2.23%,1.07,0.85,28449.7856/28261.3764/31274.5/No Horizontal Resistance/33965.62/36701.6323/No EMA 200 Target,22953.38/10555.915/25025.4383/22796.2371/No F-Track Level/No F-Track Level/24734.01,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),27278.2754
"TD, Long, 2026-04-27 (Price: 105.64)",2026-05-06 (Price: 108.6),"2.8%, 9 days","92.86%, Past 4 years, 28","Daily, is CONFIRMED on 2026-04-27",Already confirmed,"2026-05-08 (Price: 107.46), 1.72% above",11 days,"6, 2020-02-11 (Price: 57.21)",2026-04-24 (Price: 105.03),2026-04-27 (Price: 105.64),14/11/11 days,2.31% above/1.72% above/1.72% above,2020-02-11 (Price: 57.21)/2026-04-27 (Price: 104.5796),8.73%/0.22%/2.84%,"7.15%, 16.74%",3.3 months/6 days/18 days,2026-09-17/2026-05-05/2026-05-23,11.87%,11.96%,-0.09%,0.53,0.75,112.1686/108.6402/134.7/No Horizontal Resistance/115.2091/125.1041/No EMA 200 Target,91.37/54.526/97.2953/75.6865/No F-Track Level/No F-Track Level/86.62,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),105.19
"ABNB, Long, 2026-04-26 (Price: 142.82)",No Exit Yet,"-0.93%, 12 days","85.71%, Past 10 years, 7","Weekly, is CONFIRMED on 2026-04-24",Already confirmed,"2026-05-08 (Price: 141.49), 0.93% below",12 days,"2, 2021-02-14 (Price: 219.94)",2026-04-19 (Price: 141.55),2026-04-26 (Price: 142.82),19/12/12 days,0.04% below/0.93% below/0.93% below,2021-02-14 (Price: 219.94)/2026-04-26 (Price: 136.9),21.23%/8.06%/17.07%,"25.5%, 58.72%",8.9 months/1.2 month/5 months,2027-05-17/2026-06-17/2026-11-29,-8.15%,0.04%,-8.19%,0.28,0.13,No Target/167.1994/189.09/178.025/223.5359/232.9937/No EMA 200 Target,121.35/99.795/124.5998/No stop loss/No F-Track Level/No F-Track Level/128.26,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),140.5448
"SFTBY, Long, 2026-04-26 (Price: 19.34)",No Exit Yet,"4.19%, 12 days","94.44%, Past 10 years, 18","Weekly, is CONFIRMED on 2026-04-24",Already confirmed,"2026-05-08 (Price: 20.15), 4.19% above",12 days,"2, 2025-11-02 (Price: 22.5)",2026-04-19 (Price: 14.74),2026-04-26 (Price: 19.34),19/12/12 days,36.7% above/4.19% above/4.19% above,2025-11-02 (Price: 22.5)/2026-04-26 (Price: 13.0),50.49%/7.64%/21.12%,"54.69%, 65.88%",8.4 months/28 days/2.5 months,2027-04-26/2026-06-05/2026-08-12,13.18%,12.28%,0.9%,0.65,0.57,22.5659/23.4246/21.24/No Horizontal Resistance/23.8631/28.656/No EMA 200 Target,10.91/4.205/18.3494/16.3581/No F-Track Level/No F-Track Level/14.06,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),14.9
"QQQ, Long, 2026-04-26 (Price: 663.88)",No Exit Yet,"7.13%, 12 days","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2026-04-24",Already confirmed,"2026-05-08 (Price: 711.23), 7.13% above",12 days,"2, 2016-09-25 (Price: 119.22)",2026-04-26 (Price: 663.88),2026-04-24 (Price: 663.88),12/14/12 days,7.13% above/7.13% above/7.13% above,2016-09-25 (Price: 119.22)/2026-04-26 (Price: 649.2686),12.09%/1.74%/6.41%,"10.15%, 35.46%",4.2 months/1.2 month/2.2 months,2026-10-25/2026-06-17/2026-07-30,7.81%,12.14%,-4.33%,0.34,0.81,750.7819/706.4347/990.68/No Horizontal Resistance/836.2536/910.0135/No EMA 200 Target,562.58/256.995/610.7303/563.3658/No F-Track Level/No F-Track Level/601.36,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),648.04
"SOXX, Long, 2026-04-26 (Price: 461.6)",No Exit Yet,"12.72%, 12 days","86.96%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-04-24",Already confirmed,"2026-05-08 (Price: 520.3), 12.72% above",12 days,"2, 2016-04-17 (Price: 30.9233)",2026-04-19 (Price: 415.71),2026-04-24 (Price: 461.6),19/14/12 days,25.16% above/12.72% above/12.72% above,2016-04-17 (Price: 30.9233)/2026-04-26 (Price: 399.6978),11.22%/1.12%/7.1%,"19.87%, 44.93%",3.5 months/28 days/1.8 month,2026-09-25/2026-06-05/2026-07-13,9.82%,16.02%,-6.2%,0.2,0.86,507.8523/494.3736/720.01/No Horizontal Resistance/No Target/617.0719/No EMA 200 Target,323.48/110.475/301.3628/254.997/No F-Track Level/No F-Track Level/304.52,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),417.495
"MCY.NZ, Long, 2026-04-26 (Price: 6.72)",No Exit Yet,"1.19%, 12 days","100.0%, Past 10 years, 15","Weekly, is CONFIRMED on 2026-04-24",Already confirmed,"2026-05-08 (Price: 6.8), 1.19% above",12 days,"2, 2025-09-14 (Price: 6.96)",2026-04-26 (Price: 6.72),2026-04-22 (Price: 6.6),12/16/12 days,1.19% above/3.03% above/1.19% above,2025-09-14 (Price: 6.96)/2026-04-26 (Price: 6.4173),5.77%/1.12%/3.47%,"-0.0%, 19.23%",1.1 year/1.4 month/6.7 months,2027-11-20/2026-06-25/2027-02-11,6.97%,5.69%,1.28%,0.65,0.29,7.2596/6.9532/6.86/7.072/7.8394/8.9737/No EMA 200 Target,6.17/5.13/6.4223/5.8309/No F-Track Level/No F-Track Level/6.44,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),6.58
"NA.TO, Long, 2026-04-26 (Price: 203.68)",No Exit Yet,"2.04%, 12 days","100.0%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-04-24",Already confirmed,"2026-05-08 (Price: 207.84), 2.04% above",12 days,"4, 2016-03-27 (Price: 44.79)",2026-04-19 (Price: 202.92),2026-04-24 (Price: 203.68),19/14/12 days,2.42% above/2.04% above/2.04% above,2016-03-27 (Price: 44.79)/2026-04-26 (Price: 199.9784),14.7%/1.09%/5.71%,"-0.0%, 33.88%",10.7 months/28 days/3.2 months,2027-08-03/2026-06-05/2026-09-12,6.5%,7.95%,-1.45%,1.41,0.47,220.6262/215.3101/299.01/No Horizontal Resistance/207.1743/299.9136/No EMA 200 Target,162.25/82.9367/188.6608/134.0186/No F-Track Level/No F-Track Level/164.84,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),202.76
"NOVA.F, Long, 2026-04-26 (Price: 35.1)",No Exit Yet,"10.88%, 12 days","100.0%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-04-24",Already confirmed,"2026-05-08 (Price: 38.92), 10.88% above",12 days,"4, 2024-06-23 (Price: 134.2182)",2026-04-26 (Price: 35.1),2026-04-24 (Price: 35.1),12/14/12 days,10.88% above/10.88% above/10.88% above,2024-06-23 (Price: 134.2182)/2026-04-26 (Price: 33.237),21.11%/2.36%/10.96%,"-0.0%, 9.84%",6.1 months/1.2 month/2.7 months,2027-01-16/2026-06-17/2026-08-21,12.8%,7.07%,5.73%,1.33,0.37,41.4004/38.947/94.57/126.5/138.0871/146.706/43.39,31.2/No Horizontal Support/33.7767/28.7825/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),34.12
