Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Asset Class,Expected Return E[R] [%],Signal Alpha Per Trade [%],R:R Static,R:R Dynamic,Theoretical Entry Price [$],Reward Remaining [%],Signal Quality Composite Score,Timeliness Score
TRENDPULSE,"FPH.NZ, Long, 2026-06-10 (Price: 38.7)",Daily,No Exit Yet,No Price Target,2026-06-25 (Min),6.5%/7.21%,"-2.82%, 13 days","2026-06-23 (Price: 37.61), 2.82% below",41.0297 (Historic Rise or Fall to Pivot)/40.0545 (Avg % Gain of Historic Winning trades)/40.32 (Function Specific Target)/40.93 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.957 (Backtested Max),2027-01-17 (Max)/2026-06-25 (Min)/2026-08-31 (Avg),32.38/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/37.51,"85.71%, Past 4 years, 42",38.3,No Information,No Information,No Information,No Information,No Information,1.8% below/2.82% below/2.82% below,11.0%/0.47%/3.5%,-1.17%/-35.07%/-13.04%,"35.07%, 42.38%",5.1 months/11 days/1.9 month,7.9 months/0 days/2.2 months,-2.25%,3.17%,-5.42%,0.02,0.16,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,1.14%,0.31%,13.16,20.30,36.9450,100.0%,-9.6,0
DELTADRIFT,"EFN.TO, Long, 2026-06-07 (Price: 26.79)",Weekly,2026-06-23 (Price: 28.86),No Price Target,No Date Target,1.7%/3.33%,"7.73%, 16 days","2026-06-23 (Price: 28.86), 7.73% above",29.3511 (Historic Rise or Fall to Pivot)/30.2968 (Avg % Gain of Historic Winning trades)/29.82 (Function Specific Target)/34.925 (Horizontal)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/33.53 (EMA 200)/32.7561 (Backtested Max),2026-09-27 (Max)/2026-07-17 (Avg),21.35/12.67/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"83.33%, Past 15 years, 6",26.92,No Information,No Information,No Information,No Information,No Information,No Information,22.27%/6.58%/13.09%,-43.16%/-43.16%/-43.16%,"43.16%, 45.87%",2.6 months/7 days/28 days,7.9 months/0 days/1.9 month,2.99%,9.0%,-6.01%,0.04,0.45,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),equity,3.71%,1.68%,0.50,0.21,26.7900,41.0%,3.8,0
DELTADRIFT,"NAUKRI.NS, Long, 2026-05-31 (Price: 995.0)",Weekly,No Exit Yet,No Price Target,2026-06-26 (Avg),4.93%/7.91%,"1.67%, 23 days","2026-06-23 (Price: 1011.6), 1.67% above",1419.1685 (Historic Rise or Fall to Pivot)/1091.6145 (Avg % Gain of Historic Winning trades)/1255.39 (Function Specific Target)/1483.595 (Horizontal)/2223.4618 (F-Stack 1)/2377.3661 (F-Stack 2)/1186.19 (EMA 200)/1111.7135 (Backtested Max)/1061.466 (Backtested Min),2026-07-22 (Max)/2026-06-26 (Avg),928.1/662.12/920.5126/832.4874/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"80.0%, Past 15 years, 5",964.45,No Information,No Information,No Information,No Information,No Information,No Information,11.73%/6.68%/9.71%,-22.33%/-22.33%/-22.33%,"22.33%, 28.55%",1.2 month/7 days/18 days,8.4 months/0 days/2 months,3.62%,12.8%,-9.18%,0.05,0.62,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),equity,3.30%,0.25%,1.18,0.56,995.0000,82.8%,-1.6,0
OSCILLATOR DELTA,"KWEB, Long, 2026-06-01 (Price: 27.36)",Daily,2026-06-23 (Price: 24.49),No Price Target,No Date Target,17.1%/18.42%,"-10.49%, 22 days","2026-06-23 (Price: 24.49), 10.49% below",29.1876 (Historic Rise or Fall to Pivot)/28.6788 (Avg % Gain of Historic Winning trades)/29.0 (Function Specific Target)/54.865 (Horizontal)/33.97 (EMA 200)/31.5844 (Backtested Max),2026-07-05 (Max),No Recent Minima/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"86.21%, Past 6 years, 29",26.95,No Information,No Information,No Information,No Information,No Information,No Information,15.44%/0.28%/4.82%,-10.01%/-13.22%/-11.25%,"13.22%, 14.33%",24 days/1 day/8 days,1.6 month/0 days/10 days,15.21%,-9.9%,25.11%,0.34,-0.19,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),equity_etf,2.60%,3.00%,N/A,N/A,27.3600,100.0%,75.5,0
PULSEGAUGE,"MEL.NZ, Long, 2026-04-28 (Price: 5.53)",Weekly,No Exit Yet,No Price Target,2026-06-23 (Min),8.19%/10.28%,"8.5%, 1.9 month","2026-06-23 (Price: 6.0), 8.5% above",6.6166 (Avg % Gain of Historic Winning trades)/7.4565 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/6.9484 (Backtested Max)/6.4911 (Backtested Min),2027-09-27 (Max)/2027-03-06 (Avg),5.35/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 12 years, 7",5.59,No Information,No Information,No Information,No Information,No Information,No Information,25.65%/17.38%/19.65%,-26.08%/-26.08%/-26.08%,"26.08%, 32.1%",11.9 months/1.3 month/7.2 months,11.9 months/0 days/5.3 months,7.79%,7.68%,0.11%,0.52,-0.12,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,13.12%,8.27%,1.81,1.06,5.5300,56.8%,27.1,93
TRENDPULSE,"BYD.TO, Long, 2023-12-31 (Price: 278.49)",Monthly,2026-06-23 (Price: 128.16),No Price Target,No Date Target,164.41%/186.56%,"-53.98%, 2.5 years","2026-06-23 (Price: 128.16), 53.98% below",408.6841 (Historic Rise or Fall to Pivot)/367.2583 (F-Stack 2)/338.8666 (Backtested Max),No Next Date Target,138.66/166.48/229.0045/147.1212/No F-Track Level/No F-Track Level/241.57,"93.75%, Past 20 years, 16",258.84,No Information,No Information,No Information,No Information,No Information,50.47% below/53.98% below/53.98% below,21.68%/5.8%/10.46%,-53.77%/-53.77%/-53.77%,"53.77%, 59.58%",1.1 year/5.1 months/9.9 months,2.5 years/0 days/9.9 months,12.45%,8.21%,4.24%,0.12,0.41,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),equity,6.45%,-3.23%,N/A,N/A,85.1731,100.0%,8.9,92
PULSEGAUGE,"EBO.NZ, Long, 2026-04-23 (Price: 21.21)",Weekly,No Exit Yet,No Price Target,2026-06-22 (Min),6.93%/19.64%,"-4.53%, 2 months","2026-06-23 (Price: 20.25), 4.53% below",21.6533 (Historic Rise or Fall to Pivot)/24.453 (Avg % Gain of Historic Winning trades)/51.6772 (Function Specific Target)/46.625 (Horizontal)/51.6772 (F-Stack 1)/55.325 (F-Stack 2)/25.35 (EMA 200)/24.7436 (Backtested Max)/24.2261 (Backtested Min),2028-08-04 (Max)/2027-04-01 (Avg),No Recent Minima/No Horizontal Support/19.4238/18.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"76.47%, Past 25 years, 17",22.23,No Information,No Information,No Information,No Information,No Information,No Information,16.66%/14.22%/15.29%,-20.57%/-22.77%/-21.86%,"22.77%, 29.62%",1.6 year/1.4 month/7.9 months,1.6 year/0 days/7.7 months,5.08%,6.36%,-1.28%,0.21,-0.22,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,6.55%,0.72%,3.75,6.51,21.2100,100.0%,2.4,87
TRENDPULSE,"BEL.NS, Long, 2026-06-18 (Price: 428.6)",Daily,No Exit Yet,No Price Target,2026-06-23 (Min),3.18%/3.21%,"-2.01%, 5 days","2026-06-23 (Price: 420.0), 2.01% below",465.9311 (Historic Rise or Fall to Pivot)/453.2874 (Avg % Gain of Historic Winning trades)/455.51 (Function Specific Target)/433.5 (Horizontal)/456.8119 (F-Stack 1)/613.9011 (F-Stack 2)/520.4061 (Backtested Max)/433.3575 (Backtested Min),2026-11-12 (Max)/2026-07-31 (Avg),402.3/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/418.33,"100.0%, Past 4 years, 28",422.5,No Information,No Information,No Information,No Information,No Information,0.04% above/2.01% below/2.01% below,21.42%/1.11%/5.76%,N/A,"-0.0%, 22.01%",3.4 months/4 days/1 month,3.4 months/0 days/29 days,27.61%,37.89%,-10.28%,0.99,1.93,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,5.76%,1.40%,14.49,16.07,419.8321,100.0%,44.8,0
DELTADRIFT,"ZM, Long, 2026-06-23 (Price: 86.445)",Daily,No Exit Yet,No Price Target,2026-06-24 (Min),0.92%/3.32%,"0.0%, 0 days","2026-06-23 (Price: 86.445), 0.0% below",91.4156 (Historic Rise or Fall to Pivot)/91.139 (Avg % Gain of Historic Winning trades)/91.28 (Function Specific Target)/96.845 (Horizontal)/87.24 (EMA 200)/93.5854 (Backtested Max)/89.315 (Backtested Min),2026-07-27 (Max)/2026-06-24 (Min)/2026-07-04 (Avg),84.34/55.345/80.6919/No stop loss/No stop loss/No stop loss/No EMA 200 Stop Loss,"73.33%, Past 4 years, 15",84.3,No Information,No Information,No Information,No Information,No Information,No Information,8.26%/3.32%/5.43%,-12.99%/-20.11%/-15.67%,"20.11%, 21.62%",24 days/1 day/8 days,1.2 month/1 day/12 days,0.93%,-18.57%,19.5%,-0.03,-0.5,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),equity,-0.20%,0.69%,2.23,1.16,86.4450,100.0%,13.6,100
DELTADRIFT,"CAD=X, Short, 2026-06-23 (Price: 1.4158)",Daily,No Exit Yet,No Price Target,2026-06-24 (Min),-11.87%/-2.53%,"-0.0%, 0 days","2026-06-23 (Price: 1.4158), 0.0% below",1.415 (Historic Rise or Fall to Pivot)/1.409 (Avg % Gain of Historic Winning trades)/1.41 (Function Specific Target)/1.2478 (Horizontal)/1.4128 (F-Stack 1)/1.38 (EMA 200),2026-07-08 (Max)/2026-06-24 (Min)/2026-06-30 (Avg),1.42/No Horizontal Resistance/1.6568/2.0516/1.4294/1.4389/No EMA 200 Stop Loss,"85.71%, Past 4 years, 7",1.4157,No Information,No Information,No Information,No Information,No Information,No Information,0.9%/0.24%/0.48%,-1.05%/-1.05%/-1.05%,"1.05%, 2.05%",11 days/1 day/5 days,11 days/1 day/5 days,3.98%,3.82%,0.16%,0.33,-0.27,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),currency,0.26%,0.26%,1.62,1.64,1.4158,100.0%,41.3,100
DELTADRIFT,"CAD=X, Short, 2026-06-10 (Price: 1.3954)",Daily,2026-06-18 (Price: 1.41),No Price Target,2026-06-25 (Max),-11.87%/-2.53%,"-1.46%, 13 days","2026-06-23 (Price: 1.4158), 1.46% above",1.3946 (Historic Rise or Fall to Pivot)/1.3887 (Avg % Gain of Historic Winning trades)/1.39 (Function Specific Target)/1.2478 (Horizontal)/1.38 (EMA 200),2026-06-25 (Max),1.4/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 4 years, 7",1.3951,No Information,No Information,No Information,No Information,No Information,No Information,0.9%/0.24%/0.48%,-1.05%/-1.05%/-1.05%,"1.05%, 2.05%",11 days/1 day/5 days,11 days/1 day/5 days,3.98%,3.82%,0.16%,0.33,-0.27,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),currency,0.26%,0.26%,N/A,N/A,1.3954,100.0%,41.3,0
PULSEGAUGE,"KWEB, Short, 2026-06-04 (Price: 27.13)",Weekly,2026-06-17 (Price: 25.38),24.5062 (Horizontal),No Date Target,No Next Target,"9.73%, 19 days","2026-06-23 (Price: 24.49), 9.73% below",No Next Target,2026-10-12 (Max)/2026-07-08 (Avg),42.65/54.865/No Next Fib Ext/No Next Fib Ext/No F-Track Level/No F-Track Level/33.97,"83.33%, Past 12 years, 18",26.95,No Information,No Information,No Information,No Information,No Information,No Information,12.76%/4.83%/6.44%,-11.11%/-14.29%/-12.28%,"14.29%, 12.31%",3 months/4 days/24 days,3 months/4 days/23 days,8.22%,4.79%,3.43%,0.42,-0.18,80.0%/5/9 days (Across ALL Assets),72.22%/18/10 days (Across ALL Assets),equity_etf,3.32%,3.32%,0.17,-0.08,27.1300,-51.1%,42.9,0
